37 31,6 -43,6 67
62 60,81 51,-28 13
-20 -3,-16 37,34 -18
-16 -85,-87 -98,68 -27
-17 27,-99 80,-9 -51
54 -29,98 -97,-2 73
50 -84,-15 44,-69 39
-4 54,-21 -53,-79 -67
98 -98,96 -68,79 -83
63 22,-80 80,27 67
-98 56,-15 -78,22 -38
96 3,51 15,67 13
-7 -4,-79 59,57 85
-12 -85,-87 -35,-32 -49
22 54,-79 -79,59 100
54 -81,96 -15,28 2
95 -17,-48 -14,88 83
3 53,-76 -53,52 -60
-24 -47,88 -39,32 -100
17 -24,-88 -55,-13 -8
-71 88,-11 84,-14 -65
-86 -79,-17 28,-51 -85
-73 2,-19 -61,-34 -12
79 -13,-21 83,14 -93
33 -6,91 16,49 -23
17 -72,6 -65,60 70
83 85,33 -27,23 -39
60 60,-41 -91,-45 14
89 89,55 66,-1 21
42 100,-86 18,6 81
-87 66,-69 56,65 12
-43 -97,79 -80,56 -80
24 -31,-49 99,38 21
72 -71,67 2,-24 -29
77 67,57 -81,52 8
-30 27,-97 39,22 80
65 -83,45 -33,-59 -33
69 -35,-23 -28,50 47
88 40,92 -11,17 -46
-94 32,17 -89,-16 -27
54 19,-26 -27,75 -26
-81 -61,47 -96,-19 -79
-95 57,89 -97,15 -27
14 87,-6 -32,-50 -60
45 -81,1 75,-87 -36
11 53,59 -9,46 -65
-8 90,-91 -55,99 19
-47 3,-17 64,43 71
77 -69,-61 -34,-36 99
98 22,54 49,51 -72
52 64,-69 31,85 95
-47 -99,19 -70,33 46
7 3,70 -86,12 -74
85 36,10 -63,29 22
-15 -61,77 25,-73 96
64 36,39 -84,-8 83
95 57,97 -88,-10 -55
-47 -54,37 36,22 -71
-9 -40,-68 -26,49 -8
-76 -48,35 -49,-67 63
-16 -73,88 43,-13 -14
61 -46,34 78,25 -61
79 -65,-32 -35,-99 56
1 67,96 40,59 -69
84 -55,-42 -67,-98 -46
-64 9,-23 -66,-45 -54
-73 19,75 -98,-18 -53
-52 58,-5 3,-33 42
-83 38,6 85,-18 58
61 60,94 -17,-61 77
77 50,82 -6,16 -31
32 2,-28 7,-71 5
-23 -53,62 -10,9 69
-4 16,-49 -92,-98 66
-30 35,18 79,47 24
7 89,-67 -89,-25 -15
0 -5,-35 -50,79 -59
32 -69,-98 77,-67 57
61 38,-93 -13,-59 -3
43 -65,-52 66,-99 25
97 0,-90 22,21 17
-32 -40,56 -92,43 -17
-98 -49,-1 61,-79 75
28 26,-57 96,-76 44
-33 -40,88 -79,-13 -9
61 61,97 99,-66 -43
-43 -63,100 91,87 39
22 -50,0 41,-58 -90
45 -2,89 -97,-18 -81
-4 87,90 51,33 -8
16 52,-96 99,34 1
-66 -75,53 -70,-52 -1
-72 23,-51 -1,-8 -42
23 -94,-75 59,-78 10
47 90,-30 57,50 39
4 60,-80 -9,7 18
85 -21,74 99,63 55
-61 44,64 12,100 -94
-6 -19,28 -62,92 14
84 -39,77 14,-7 -62
