71 87,80 -43,-67 21
7 -49,87 14,96 -16
69 -96,57 40,-79 26
95 49,96 -86,24 -22
92 82,-23 -23,-14 -60
-13 -43,-16 69,46 -80
-99 -17,94 6,17 -4
-26 -73,-44 20,87 -63
-21 86,-30 -48,-20 -82
-60 64,-44 37,86 -77
-7 96,-31 -17,-70 53
72 54,71 28,-45 -21
48 -2,-55 -92,-49 -58
-36 -42,-96 -89,20 65
-96 93,-61 19,-12 97
29 -32,42 37,95 -67
28 46,47 21,56 -88
-85 -20,58 -2,35 1
72 54,-50 72,46 47
-29 72,-58 57,92 -57
17 3,55 -78,-45 13
52 54,-24 -17,89 -49
42 45,-10 -21,19 36
-19 -74,-42 -65,78 -98
44 3,35 -87,44 -24
-76 -84,-68 -4,-68 -24
11 -46,-45 86,-59 -62
52 30,-68 75,71 -12
77 -60,-60 27,-56 -89
-85 43,85 98,12 -15
-61 -1,-91 99,4 58
-64 -44,-43 51,84 -35
39 -66,44 18,-45 66
86 -88,-97 40,-44 69
-11 -59,-96 42,28 -100
82 88,-44 -4,42 -72
-46 -80,-96 -45,-5 47
-85 -57,92 -55,-41 -87
-59 -73,10 -59,-42 97
53 -88,-66 -5,-13 -32
90 -61,61 -63,92 -49
85 -38,88 49,19 60
-76 1,19 -79,35 33
70 -73,-74 48,98 75
4 36,-87 48,8 -48
-13 -56,-46 -95,-32 81
40 -89,-75 98,-43 100
-50 -25,46 15,16 82
23 88,13 -52,-76 12
30 4,-3 -48,-89 -63
88 6,80 69,68 68
79 -61,-8 49,-85 1
-83 25,-65 -5,11 -2
-96 -24,26 48,96 -7
42 -64,-86 65,-56 20
-45 94,-90 -71,-49 -17
-79 -95,-45 79,71 44
48 19,-47 5,56 -97
28 -97,46 83,88 -48
73 100,54 73,-47 95
-3 -14,33 -25,-39 65
60 -49,-43 75,-94 -46
-70 -37,-64 -48,-58 -13
-15 -79,40 -27,-86 6
88 -90,-11 1,-42 -53
98 84,-67 77,27 56
-50 53,-43 59,-59 -83
96 -41,-47 82,85 73
-79 54,96 100,-89 73
96 94,-70 24,-82 -35
82 86,-65 -87,-41 -65
-4 88,-56 -4,-78 58
95 93,-64 -62,-25 41
-50 85,-91 -79,-73 39
27 62,-20 3,-76 92
41 62,-48 -70,43 -20
2 37,93 37,27 -13
-81 84,7 -59,-5 84
-48 82,66 37,-90 97
3 -43,67 67,-35 -94
-70 -28,24 -60,-60 20
-4 -50,-85 83,-27 -41
29 -1,-32 66,-2 -76
-18 -89,35 -32,-37 -22
-20 -66,50 15,-3 -7
-54 66,-67 -4,7 -68
77 -41,85 -43,-98 -75
70 -57,-97 -8,-93 96
-5 -70,3 -21,96 -35
96 -34,-54 -59,-82 13
80 2,6 -55,-64 87
-91 -78,-72 -14,68 94
-48 78,-82 -96,-82 93
3 83,-78 -54,68 -18
54 -70,-64 -53,-22 -26
-27 -18,37 -61,82 56
-69 2,66 -21,5 30
-47 78,40 -50,62 12
-89 -59,-5 84,-72 1
38 -66,39 71,-97 -89
