-12 -64,-85 2,64 92
-65 65,-34 -93,-94 38
94 -73,-100 -97,37 -78
-47 -73,-37 51,21 -79
-32 -17,-18 -89,3 -72
-67 -50,-16 -65,94 26
-22 68,-91 -4,14 97
62 1,-88 52,74 91
-36 72,33 80,1 45
-34 37,-73 -96,60 -36
5 67,98 -33,-39 70
-48 -63,17 -74,35 36
-47 0,65 18,-28 30
-61 5,-5 7,95 -78
96 10,-21 59,53 95
67 -85,-40 -84,-95 28
88 -11,-75 0,55 89
98 -40,23 -39,-93 -11
-37 -71,96 78,-41 75
24 81,-38 -24,14 59
60 48,-58 -58,30 18
12 58,89 -61,65 58
-92 -60,-20 61,-39 89
41 -56,-52 81,79 42
-44 -48,23 -42,-52 12
23 -41,80 25,20 4
100 -6,-27 7,-47 7
-13 -64,1 53,66 19
-70 -99,55 -82,-30 -5
40 26,44 -74,67 -36
93 -30,71 -3,78 51
-4 -48,-100 20,76 51
-75 -18,-62 35,-17 43
-61 98,-67 13,-96 65
-98 -92,46 -74,-33 -65
-24 -72,-21 31,-84 6
-89 29,57 4,64 -16
22 99,-13 -93,-61 93
77 48,36 -45,56 -18
-20 -8,-1 39,40 -7
-11 -80,66 -66,12 10
-29 -42,48 -85,-97 41
-14 -12,-10 62,9 53
-34 76,12 19,-21 70
-29 24,-72 -4,34 22
67 -47,-19 -44,42 -14
-46 71,-80 -13,-37 -26
-5 -79,97 82,56 -76
43 4,75 91,-23 28
-8 -12,-75 52,-68 95
71 82,-87 -36,73 -2
-20 57,95 98,-33 20
52 69,-23 -8,-52 -69
93 -65,-50 -84,19 -87
-20 -92,40 16,-91 -80
-50 -53,-65 -81,4 43
-13 4,-73 -2,76 -84
-25 -48,32 -4,-41 -100
35 30,-37 -6,-96 42
-4 -55,-33 -77,-10 -63
43 -19,-18 14,45 -11
41 87,64 -33,-33 -40
-4 32,-92 -6,61 -11
-12 19,-3 75,-14 10
-58 39,-9 7,57 7
-100 -22,84 -2,-83 26
86 18,94 98,76 -46
-15 41,-75 20,-62 26
-22 5,-52 -38,-75 27
-42 -6,46 -25,-13 -40
-85 88,7 24,46 -94
99 40,-7 69,-56 -86
72 -63,45 79,-34 -12
14 72,-60 18,11 82
-91 12,37 60,-98 -6
-80 -15,-82 -45,-91 86
-37 23,73 69,78 -91
73 93,-1 81,63 15
70 -83,-61 -28,-48 24
-8 52,-58 98,28 -59
88 -48,60 -2,-50 87
-8 -41,-100 70,41 -16
5 -96,-96 92,-18 -10
-99 61,-93 -93,32 63
60 -54,78 41,-15 48
54 95,98 48,-98 -85
83 -52,95 -26,-76 34
-62 79,-83 8,98 80
-27 24,-36 -35,-74 -48
28 100,15 31,-69 37
-78 -29,39 -87,-52 37
16 78,-10 -19,-93 37
-21 -53,95 -54,-32 -8
7 -72,22 -90,-10 82
-58 76,-61 54,-89 -68
-29 -70,6 -19,-85 67
64 0,-73 91,-43 37
-45 24,18 -28,75 -37
80 16,79 -92,2 61
45 36,-5 -94,4 -13
