-72 46,-45 -53,-29 -80
48 -15,57 17,-68 34
-24 -16,67 -42,-1 -11
-97 21,-59 -83,-74 -23
-34 -1,-44 -75,54 21
0 -24,-24 63,-25 -52
-4 -80,70 23,36 10
12 -67,-64 64,76 89
55 -14,-69 -21,-50 -8
-21 86,-84 62,37 35
99 88,-14 44,76 48
55 -32,-51 84,30 9
-82 34,10 -97,49 -23
-30 -97,24 75,-77 43
-1 25,19 -18,-93 -82
-19 24,-67 -7,-68 70
80 17,89 -23,75 -26
-84 4,47 -67,6 12
33 -34,-48 -89,16 -98
96 -48,99 53,-28 51
-9 -2,23 63,53 0
-53 19,-95 -88,80 -10
-100 -50,67 -10,51 47
-53 31,-43 32,-85 -7
97 -29,46 -61,-16 -91
88 49,28 -70,-49 72
-49 14,54 95,75 -13
-45 -20,-93 2,-64 80
-25 99,4 29,97 -16
-84 83,-67 -15,-36 85
-52 5,-92 1,-96 16
-3 7,28 84,-47 -86
-8 12,-9 62,20 -25
15 -33,43 -78,-9 -40
-35 14,64 86,-32 -50
-90 -26,69 -7,-88 -70
41 4,91 4,-42 -11
62 52,-97 69,-31 -95
23 -81,-9 -27,-44 95
-87 -52,75 72,75 -73
-35 -26,5 -54,-70 -37
-100 -16,38 -5,57 18
-88 0,-44 96,39 -94
46 76,3 22,54 -47
-23 -81,35 -75,-46 95
68 19,-92 -82,48 -53
-28 -65,94 31,-23 61
62 99,-4 61,39 83
-93 68,1 34,91 -32
17 91,61 -13,64 -12
24 9,-70 81,-41 11
97 -72,7 43,39 12
52 17,88 91,-54 -2
-13 -12,-48 50,-4 26
-55 90,-3 82,73 6
-75 6,71 94,-3 -44
40 -61,-13 9,-56 -81
77 -27,94 -94,-55 15
-63 6,-87 -97,1 -34
63 7,-11 -72,-98 -67
-21 91,-44 50,-53 67
69 43,16 -26,-54 100
-92 43,3 -38,2 -95
-37 80,39 13,97 -89
23 -32,-26 -34,59 12
26 88,68 74,-66 15
9 -77,8 81,-18 30
56 23,15 -84,10 -70
-54 53,-90 -27,72 7
-35 88,65 -41,76 -38
31 3,15 -15,70 -15
38 -97,-35 69,20 -28
-44 -85,3 76,-54 -94
-89 34,7 16,26 37
73 76,-84 -70,67 -29
-100 5,-52 99,94 9
-97 19,-77 42,-29 79
-28 -21,24 -21,-13 -94
-70 84,-95 -65,47 -27
72 0,-16 -39,0 52
71 91,68 41,7 -11
62 -58,-56 78,-71 -86
51 95,6 48,49 -44
-1 36,-84 -59,-88 -94
24 -6,-7 -87,-48 62
-4 46,-48 24,79 62
79 2,7 56,-68 75
-87 26,3 -47,77 -15
89 95,-98 50,2 -96
4 29,18 -76,-100 88
76 9,-33 98,10 -87
6 19,-32 36,-39 -64
96 -1,22 -66,98 -23
17 -50,67 78,-41 38
-11 40,15 3,-58 94
-48 94,-96 -78,87 92
-87 22,-14 76,-87 5
-8 -31,-19 61,49 -12
-18 64,91 73,97 -51
35 87,53 -66,-82 -27
