30 -62,-37 89,86 -25
-2 46,-93 54,-43 67
59 -78,-96 84,72 98
47 -8,53 -33,33 -64
92 63,-80 -49,-23 76
-3 -71,-98 -23,55 12
-92 -40,-60 51,-42 -38
-73 34,4 -78,71 45
-99 83,81 87,-79 -19
18 -67,-91 -2,89 -10
59 -87,-25 0,-87 -28
-18 97,89 -61,54 78
89 19,36 -16,-49 9
70 -19,67 -15,17 -48
54 -65,-20 6,62 -60
88 -96,-82 -95,-55 -9
47 15,38 84,-67 -54
-34 -68,-71 40,-89 -58
-2 -87,-82 -28,90 86
-20 -79,71 72,-48 -20
-19 48,-3 -28,14 -64
43 -58,99 -80,-47 88
33 -18,96 52,70 -48
13 74,-85 73,38 -82
-39 43,-49 4,79 -98
-58 -1,-92 64,80 83
21 76,56 -35,-13 -77
75 -96,12 95,-74 90
-36 -24,96 82,-2 96
36 58,87 4,-76 -31
-2 10,4 8,-56 7
94 -9,-63 74,84 17
-48 -87,-65 -64,-35 -12
-92 -61,48 -46,16 74
-13 -58,-26 29,-100 18
33 -92,55 9,25 68
-73 -32,-40 -29,-73 -77
57 28,-33 77,64 4
-23 80,-22 -88,26 -30
-41 -96,77 18,84 -55
22 53,-96 74,-6 60
54 -56,-49 78,-88 -39
-34 18,84 91,65 -19
42 -82,-23 96,9 84
19 -80,-97 -35,25 -65
33 -40,73 1,4 -32
28 -31,-22 -69,48 -50
-31 -58,41 -22,7 68
31 41,-86 -4,50 -26
-92 37,66 57,29 97
90 85,7 -41,-100 21
-8 65,57 83,-33 8
76 -8,-98 55,77 0
44 94,-60 -77,-67 -64
95 -21,-27 -51,25 -86
21 27,-66 74,-24 -88
-52 -71,98 -13,71 36
-27 -97,64 -24,43 -84
50 37,30 11,58 -59
-79 59,-21 -24,61 25
-76 -37,-53 69,-89 -85
-75 -62,93 11,10 -92
-15 17,3 93,-21 61
-62 46,-40 89,-80 41
17 11,-45 -4,19 -74
-37 24,58 -27,-57 35
-31 1,48 36,25 84
-66 61,68 51,-15 -63
66 73,1 -7,95 -4
22 21,-5 -73,53 9
-73 88,86 97,57 -94
-53 3,-76 57,76 -54
23 54,11 -79,-95 26
30 -49,-86 78,-35 -7
29 47,97 -81,72 -9
-35 7,-81 29,17 80
99 -31,-81 -28,68 -16
18 -46,-40 54,55 -62
28 57,-71 7,6 -77
12 -10,-4 -89,-95 7
70 66,-45 45,96 1
-24 67,91 -8,-10 -24
-39 99,-37 -38,33 -30
-45 -85,48 -92,-58 100
-63 -48,-3 67,-61 79
64 -50,-79 26,49 23
-18 77,-31 42,62 80
27 96,-69 12,87 -75
28 87,-43 33,-58 99
50 19,64 -71,96 -88
-46 17,-91 39,-48 -83
19 -28,85 1,-88 39
-98 -39,51 -54,-63 -86
-22 75,25 22,-98 -33
-39 100,11 -2,-50 -50
-23 -51,-48 -87,-65 -32
-74 54,-35 66,-73 70
-40 54,78 -6,61 -84
-75 -25,-8 59,68 -7
45 38,88 2,21 -4
